id,name,slug,city,state,fees_min,fees_max,rating,ranking,placements_avg,exams,top_course,established,ownership,image_url,
1,IIT Delhi,iit-delhi,Delhi,Delhi,200000,250000,4.8,2,2400000,JEE Advanced,B.Tech CSE,1961,Govt,https://share.google/patg69f1Mjz5AwKUN,
2,IIT Bombay,iit-bombay,Mumbai,Maharashtra,220000,270000,4.9,1,2500000,JEE Advanced,B.Tech CSE,1958,Govt,https://example.com/iitb.jpg,
3,IIT Madras,iit-madras,Chennai,Tamil Nadu,210000,260000,4.9,1,2300000,JEE Advanced,B.Tech CSE,1959,Govt,https://example.com/iitm.jpg,
4,IIT Kanpur,iit-kanpur,Kanpur,Uttar Pradesh,200000,250000,4.7,4,2100000,JEE Advanced,B.Tech CSE,1959,Govt,https://example.com/iitk.jpg,
5,IIT Kharagpur,iit-kharagpur,Kharagpur,West Bengal,190000,240000,4.7,5,2000000,JEE Advanced,B.Tech CSE,1951,Govt,https://example.com/iitkgp.jpg,
6,NIT Trichy,nit-trichy,Trichy,Tamil Nadu,150000,200000,4.6,8,1500000,JEE Main,B.Tech CSE,1964,Govt,https://example.com/nitt.jpg,
7,NIT Warangal,nit-warangal,Warangal,Telangana,150000,200000,4.5,9,1400000,JEE Main,B.Tech CSE,1959,Govt,https://example.com/nitw.jpg,
8,NIT Surathkal,nit-surathkal,Mangalore,Karnataka,150000,200000,4.6,10,1450000,JEE Main,B.Tech CSE,1960,Govt,https://example.com/nits.jpg,
9,BITS Pilani,bits-pilani,Pilani,Rajasthan,400000,500000,4.7,6,1800000,BITSAT,B.Tech CSE,1964,Private,https://example.com/bits.jpg,
10,VIT Vellore,vit-vellore,Vellore,Tamil Nadu,200000,300000,4.4,12,1000000,VITEEE,B.Tech CSE,1984,Private,https://example.com/vit.jpg,
11,SRM University,srm,srm,Chennai,Tamil Nadu,250000,350000,4.3,15,900000,SRMJEEE,B.Tech CSE,1985,Private,https://example.com/srm.jpg
12,Manipal Institute of Technology,mit-manipal,Manipal,Karnataka,300000,400000,4.5,14,1200000,MET,B.Tech CSE,1957,Private,https://example.com/mit.jpg,
13,DTU,delhi-technological-university,Delhi,Delhi,120000,180000,4.6,11,1300000,JEE Main,B.Tech CSE,1941,Govt,https://example.com/dtu.jpg,
14,NSUT,nsut-delhi,Delhi,Delhi,120000,180000,4.5,13,1200000,JEE Main,B.Tech CSE,1983,Govt,https://example.com/nsut.jpg,
15,IIIT Hyderabad,iiit-hyderabad,Hyderabad,Telangana,300000,400000,4.8,7,2200000,UGEE,B.Tech CSE,1998,Private,https://example.com/iiith.jpg,
16,IIIT Bangalore,iiit-bangalore,Bangalore,Karnataka,350000,450000,4.7,10,2000000,UGEE,B.Tech CSE,1999,Private,https://example.com/iiitb.jpg,
17,Amrita University,amrita-coimbatore,Coimbatore,Tamil Nadu,200000,300000,4.3,18,800000,AEEE,B.Tech CSE,1994,Private,https://example.com/amrita.jpg,
18,Thapar Institute,thapar,Patiala,Punjab,250000,350000,4.4,16,1000000,JEE Main,B.Tech CSE,1956,Private,https://example.com/thapar.jpg,
19,KIIT University,kiit,KIIT,Bhubaneswar,Odisha,200000,300000,4.2,20,800000,KIITEE,B.Tech CSE,1992,Private,https://example.com/kiit.jpg
20,UPES Dehradun,upes,Dehradun,Uttarakhand,300000,400000,4.1,25,700000,UPESAT,B.Tech CSE,2003,Private,https://example.com/upes.jpg,
21,Jadavpur University,jadavpur,Kolkata,West Bengal,50000,100000,4.7,6,1200000,WBJEE,B.Tech CSE,1955,Govt,https://example.com/jadavpur.jpg,
22,Anna University,anna,Chennai,Tamil Nadu,50000,100000,4.6,9,1000000,TNEA,B.Tech CSE,1978,Govt,https://example.com/anna.jpg,
23,COEP Pune,coep,Pune,Maharashtra,80000,150000,4.5,17,900000,MHT CET,B.Tech CSE,1854,Govt,https://example.com/coep.jpg,
24,PES University,pes,Bangalore,Karnataka,300000,400000,4.4,21,1100000,PESSAT,B.Tech CSE,1972,Private,https://example.com/pes.jpg,
25,RV College of Engineering,rvce,Bangalore,Karnataka,200000,300000,4.5,19,1200000,KCET,B.Tech CSE,1963,Private,https://example.com/rvce.jpg,
26,BMS College,bmsce,Bangalore,Karnataka,200000,300000,4.3,22,900000,KCET,B.Tech CSE,1946,Private,https://example.com/bms.jpg,
27,LPU,lovely-professional-university,Jalandhar,Punjab,200000,300000,4,30,700000,LPUNEST,B.Tech CSE,2005,Private,https://example.com/lpu.jpg,
28,Chandigarh University,cu,Chandigarh,Punjab,200000,300000,4.1,28,800000,CUCET,B.Tech CSE,2012,Private,https://example.com/cu.jpg,
29,Galgotias University,galgotias,Noida,Uttar Pradesh,150000,250000,3.9,35,600000,GU Entrance,B.Tech CSE,2011,Private,https://example.com/galgotias.jpg,
